Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Chrome 66.0.3359.158,,2018-05-19 15:20:26,2018-05-19 15:21:56,1m - 29.757s,PASSED
,,,,,,
Test Cases/searchAmazon,Chrome 66.0.3359.158,,2018-05-19 15:20:27,2018-05-19 15:21:16,48.665s,PASSED
openBrowser,Chrome 66.0.3359.158,,2018-05-19 15:20:27,2018-05-19 15:20:58,30.880s,PASSED
navigateToUrl,Chrome 66.0.3359.158,,2018-05-19 15:20:58,2018-05-19 15:20:59,1.211s,PASSED
setText,Chrome 66.0.3359.158,,2018-05-19 15:20:59,2018-05-19 15:21:01,1.039s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:01,2018-05-19 15:21:04,3.058s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:04,2018-05-19 15:21:09,5.604s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:09,2018-05-19 15:21:11,2.065s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:11,2018-05-19 15:21:12,1.094s,PASSED
verifyElementPresent,Chrome 66.0.3359.158,,2018-05-19 15:21:12,2018-05-19 15:21:12,0.149s,PASSED
closeBrowser,Chrome 66.0.3359.158,,2018-05-19 15:21:12,2018-05-19 15:21:16,3.034s,PASSED
,,,,,,
Test Cases/searchGoogle,Chrome 66.0.3359.158,,2018-05-19 15:21:16,2018-05-19 15:21:56,40.485s,PASSED
openBrowser,Chrome 66.0.3359.158,,2018-05-19 15:21:16,2018-05-19 15:21:38,22.299s,PASSED
navigateToUrl,Chrome 66.0.3359.158,,2018-05-19 15:21:38,2018-05-19 15:21:39,0.748s,PASSED
setText,Chrome 66.0.3359.158,,2018-05-19 15:21:39,2018-05-19 15:21:40,0.974s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:40,2018-05-19 15:21:41,1.606s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:41,2018-05-19 15:21:47,5.502s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:47,2018-05-19 15:21:49,2.339s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:49,2018-05-19 15:21:52,2.670s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:52,2018-05-19 15:21:53,0.961s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 15:21:53,2018-05-19 15:21:53,0.476s,PASSED
closeBrowser,Chrome 66.0.3359.158,,2018-05-19 15:21:53,2018-05-19 15:21:56,2.565s,PASSED
