Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Chrome 66.0.3359.181,,2018-05-19 14:11:00,2018-05-19 14:11:34,33.503s,PASSED
,,,,,,
Test Cases/searchAmazon,Chrome 66.0.3359.181,,2018-05-19 14:11:01,2018-05-19 14:11:21,20.472s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 14:11:01,2018-05-19 14:11:08,6.252s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 14:11:08,2018-05-19 14:11:12,4.711s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 14:11:12,2018-05-19 14:11:13,0.506s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:13,2018-05-19 14:11:15,2.552s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:15,2018-05-19 14:11:19,3.467s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:19,2018-05-19 14:11:20,1.394s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:20,2018-05-19 14:11:20,0.120s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-19 14:11:20,2018-05-19 14:11:20,0.079s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 14:11:20,2018-05-19 14:11:21,0.743s,PASSED
,,,,,,
Test Cases/searchGoogle,Chrome 66.0.3359.181,,2018-05-19 14:11:21,2018-05-19 14:11:33,12.335s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 14:11:21,2018-05-19 14:11:25,3.574s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 14:11:25,2018-05-19 14:11:27,1.959s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 14:11:27,2018-05-19 14:11:28,0.599s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:28,2018-05-19 14:11:29,1.198s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:29,2018-05-19 14:11:32,2.905s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:32,2018-05-19 14:11:33,0.955s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:33,2018-05-19 14:11:33,0.193s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:11:33,2018-05-19 14:11:33,0.055s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 14:11:33,2018-05-19 14:11:33,0.636s,PASSED
