Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Chrome 66.0.3359.181,,2018-05-19 14:12:47,2018-05-19 14:13:16,28.978s,PASSED
,,,,,,
Test Cases/searchAmazon,Chrome 66.0.3359.181,,2018-05-19 14:12:48,2018-05-19 14:13:03,15.690s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 14:12:48,2018-05-19 14:12:53,4.400s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 14:12:53,2018-05-19 14:12:57,4.008s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 14:12:57,2018-05-19 14:12:57,0.542s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:12:57,2018-05-19 14:12:59,1.755s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:12:59,2018-05-19 14:13:01,2.569s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:01,2018-05-19 14:13:02,0.937s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:02,2018-05-19 14:13:03,0.170s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-19 14:13:03,2018-05-19 14:13:03,0.044s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 14:13:03,2018-05-19 14:13:03,0.732s,PASSED
,,,,,,
Test Cases/searchGoogle,Chrome 66.0.3359.181,,2018-05-19 14:13:03,2018-05-19 14:13:16,12.619s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 14:13:04,2018-05-19 14:13:06,2.913s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 14:13:06,2018-05-19 14:13:09,2.299s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 14:13:09,2018-05-19 14:13:09,0.227s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:09,2018-05-19 14:13:11,1.988s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:11,2018-05-19 14:13:14,2.869s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:14,2018-05-19 14:13:15,1.233s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:15,2018-05-19 14:13:15,0.152s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 14:13:15,2018-05-19 14:13:15,0.092s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 14:13:15,2018-05-19 14:13:16,0.659s,PASSED
