Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Chrome 66.0.3359.181,,2018-05-19 13:47:58,2018-05-19 13:48:30,32.551s,PASSED
,,,,,,
Test Cases/searchAmazon,Chrome 66.0.3359.181,,2018-05-19 13:47:58,2018-05-19 13:48:17,18.780s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 13:47:59,2018-05-19 13:48:04,5.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 13:48:04,2018-05-19 13:48:08,4.303s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 13:48:08,2018-05-19 13:48:09,0.484s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:09,2018-05-19 13:48:12,3.844s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:12,2018-05-19 13:48:15,2.730s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:15,2018-05-19 13:48:16,0.996s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:16,2018-05-19 13:48:16,0.138s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-19 13:48:16,2018-05-19 13:48:16,0.048s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 13:48:16,2018-05-19 13:48:17,0.726s,PASSED
,,,,,,
Test Cases/searchGoogle,Chrome 66.0.3359.181,,2018-05-19 13:48:17,2018-05-19 13:48:30,13.081s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-19 13:48:17,2018-05-19 13:48:21,3.950s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-19 13:48:21,2018-05-19 13:48:23,1.503s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-19 13:48:23,2018-05-19 13:48:23,0.689s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:23,2018-05-19 13:48:25,1.560s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:25,2018-05-19 13:48:28,3.004s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:28,2018-05-19 13:48:29,1.141s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:29,2018-05-19 13:48:29,0.238s,PASSED
click,Chrome 66.0.3359.181,,2018-05-19 13:48:29,2018-05-19 13:48:29,0.056s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-19 13:48:29,2018-05-19 13:48:30,0.676s,PASSED
