Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Firefox 59.0,,2018-05-19 15:22:33,2018-05-19 15:23:23,49.638s,PASSED
,,,,,,
Test Cases/searchAmazon,Firefox 59.0,,2018-05-19 15:22:34,2018-05-19 15:23:05,31.254s,PASSED
openBrowser,Firefox 59.0,,2018-05-19 15:22:34,2018-05-19 15:22:48,14.136s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-19 15:22:48,2018-05-19 15:22:52,3.655s,PASSED
setText,Firefox 59.0,,2018-05-19 15:22:52,2018-05-19 15:22:55,3.180s,PASSED
click,Firefox 59.0,,2018-05-19 15:22:55,2018-05-19 15:22:58,3.118s,PASSED
click,Firefox 59.0,,2018-05-19 15:22:58,2018-05-19 15:23:01,2.482s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:01,2018-05-19 15:23:04,3.065s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:04,2018-05-19 15:23:04,0.481s,PASSED
verifyElementPresent,Firefox 59.0,,2018-05-19 15:23:04,2018-05-19 15:23:04,0.039s,PASSED
closeBrowser,Firefox 59.0,,2018-05-19 15:23:04,2018-05-19 15:23:05,0.578s,PASSED
,,,,,,
Test Cases/searchGoogle,Firefox 59.0,,2018-05-19 15:23:05,2018-05-19 15:23:23,17.726s,PASSED
openBrowser,Firefox 59.0,,2018-05-19 15:23:05,2018-05-19 15:23:10,5.022s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-19 15:23:10,2018-05-19 15:23:12,2.324s,PASSED
setText,Firefox 59.0,,2018-05-19 15:23:12,2018-05-19 15:23:13,0.149s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:13,2018-05-19 15:23:14,1.372s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:14,2018-05-19 15:23:18,3.571s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:18,2018-05-19 15:23:19,1.603s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:19,2018-05-19 15:23:21,1.864s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:21,2018-05-19 15:23:21,0.344s,PASSED
click,Firefox 59.0,,2018-05-19 15:23:21,2018-05-19 15:23:22,0.285s,PASSED
closeBrowser,Firefox 59.0,,2018-05-19 15:23:22,2018-05-19 15:23:23,0.954s,PASSED
